Title,Year,Format,AVS,Catalogue
"Blade Runner, The Final Cut",1982,The Final Cut Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57308284,https://beqcatalogue.readthedocs.io/en/latest/57308284/
Blade Runner 2049,2017,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56737562,https://beqcatalogue.readthedocs.io/en/latest/56737562/
The Blindside,2009,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58428506,https://beqcatalogue.readthedocs.io/en/latest/58428506/
Blindspotting,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57088770,https://beqcatalogue.readthedocs.io/en/latest/57088770/
Blood and Money,2020,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59923092,https://beqcatalogue.readthedocs.io/en/latest/59923092/
Bloodshot,2020,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59405454,https://beqcatalogue.readthedocs.io/en/latest/59405454/
Bohemian Rapsody,2018,Atmos / DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57483082,https://beqcatalogue.readthedocs.io/en/latest/57483082/
Bolt,2008,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57679340,https://beqcatalogue.readthedocs.io/en/latest/57679340/
Bombshell,2019,DD 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59322616,https://beqcatalogue.readthedocs.io/en/latest/59322616/
The Book of Eli,2010,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57550358,https://beqcatalogue.readthedocs.io/en/latest/57550358/
Booksmart,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58449456,https://beqcatalogue.readthedocs.io/en/latest/58449456/
Born to Race:Fast Track,2014,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58062266,https://beqcatalogue.readthedocs.io/en/latest/58062266/
The Bouncer,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57943818,https://beqcatalogue.readthedocs.io/en/latest/57943818/
The Bourne Identity,2002,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58700234,https://beqcatalogue.readthedocs.io/en/latest/58700234/
The Bourne Supremacy,2004,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58713422,https://beqcatalogue.readthedocs.io/en/latest/58713422/
The Bourne Ultimatum,2007,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58723724,https://beqcatalogue.readthedocs.io/en/latest/58723724/
